Gender,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
Male,5082,4154,3783,4466,6376,4533,3556,4151,5535,4763,3883,4059,5553,4597,3839,4083,4802,4879,3685,4178,5037,4473,3973,4342,5672,4910,3938,4411,4420,4305,3861,4217,5254,4455,3957,4147,5218,4610,4055,4338,5584,4753,3879,4298,4550,4476,3876,4187,5189,4639,3957,4657,5220,4620,4077,4301,4884,4858,4229,4649,5013,4737,3969,4598,4603,5107,3944,4409,4867,4656,4167,4428,5265,4788,3922,4026,5215,4654,4042,4150,4740,4761,4012,4528,4939,4186,4050,4577,5546,4448,3806,4179,5139,4555,4091,4125,4904,4569,3912,4108,5430,4496,4023,4320,5391,4870,3999,4011,4846,4222,3863,4020,4871,4446,3753,3919,4450,4257,3794,4017,5251,4036,3725,3990,4746,4240,3725,4030,4712,3909,3802,3968,4378,4128,3775,4501,4426,4132,3835,3826,4814,4248,3611,4008,4847,4034,3789,3843,4781,4181,3700,3799,4686,4148,3785,3864,5035,4033,3562,3850,4875,3955,3558,3542,4290,3714,3656,3748,3941,4019,3660,3597,3931,3695,3475,3634,3953,3495,3324,3712,3661,3737,3215,3291,3643,3635,3417,3416,3953,3493,3325,3528,3715,3842,3467,3389,4326,3647,3505,3566,3997,3613,3357,3093,4100,3717,3575,3397,4005,3586,3589,3598,4140,3916,3514,3641,4046,3691,3596,3530,4245,3818,3506,3581,4339,3975,3621,3564,4484,3800,3608
Female,4317,3728,3167,3961,5507,3718,3147,3560,4832,3969,3138,3464,4709,4084,3266,3427,4061,4188,3197,3483,4241,3688,3353,3671,4783,4204,3185,3622,3666,3596,3324,3613,4607,3759,3207,3414,4311,3799,3456,3721,4512,4055,3215,3588,3876,3711,3278,3421,4435,3732,3358,3881,4313,3738,3384,3657,4184,4081,3563,4020,4099,4025,3334,3757,4100,4208,3271,3642,4234,3948,3469,3656,4469,3961,3271,3349,4296,3746,3221,3466,3949,3815,3364,3811,4193,3543,3394,3528,4641,3562,3257,3437,4291,3656,3397,3490,4260,3802,3219,3380,4446,3729,3215,3563,4671,4000,3308,3377,4070,3549,3272,3377,4347,3679,3237,3323,4022,3804,3347,3412,4843,3400,3140,3433,4274,3745,3252,3486,4286,3329,3434,3340,3953,3689,3379,3853,4125,3675,3378,3347,4351,3756,3224,3482,4401,3756,3446,3398,4454,3923,3390,3377,4241,3873,3402,3353,4832,3744,3083,3544,4929,3695,3274,3287,4118,3546,3318,3422,3808,3661,3281,3381,3825,3508,3164,3591,3920,3386,3149,3212,3691,3612,3165,3069,3677,3332,3240,3119,3957,3409,3130,3528,3812,3728,3227,3012,4093,3373,3133,3255,4009,3316,3160,3020,3993,3560,3336,3317,3974,3494,3236,3366,4207,3728,3469,3403,4064,3506,3405,3257,4359,3747,3345,3351,4270,3722,3508,3391,4583,3515,3379
